brand, product_name, price, shipping
MSI,MSI GeForce RTX 2060 DirectX 12 RTX 2060 VENTUS XS 6G OC 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,$339.99 (12 Offers)–,Free Shipping
GIGABYTE,GIGABYTE GeForce RTX 3080 DirectX 12 GV-N3080GAMING OC-10GD 10GB 320-Bit GDDR6X PCI Express 4.0 x16 ATX Video Card,$749.99 –,$6.99 Shipping
GIGABYTE,GIGABYTE GeForce GTX 1660 OC 6G Graphics Card 2 x WINDFORCE Fans 6GB 192-Bit GDDR5 GV-N1660OC-6GD Video Card,$229.99 (3 Offers)–,Free Shipping
ASUS,ASUS ROG STRIX AMD Radeon RX 5700 XT Overclocked 8G GDDR6 HDMI DisplayPort Gaming Graphics Card (ROG-STRIX-RX5700XT-O8G-GAMING),$459.99 (2 Offers)–,Free Shipping
GIGABYTE,GIGABYTE GeForce GTX 1660 SUPER DirectX 12 GV-N166SGAMING-6GD 6GB 192-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card,$239.99 –,Free Shipping
MSI,MSI GeForce GTX 1660 SUPER DirectX 12 GTX 1660 SUPER VENTUS XS OC 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,$249.99 (8 Offers)–,Free Shipping
ASUS,ASUS ROG STRIX GeForce RTX 2060 DirectX 12 ROG-STRIX-RTX2060-O6G-EVO-GAMING 6GB 192-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,$359.99 (4 Offers)–,$4.99 Shipping
EVGA,EVGA GeForce RTX 2060 KO ULTRA GAMING Video Card 06G-P4-2068-KR 6GB GDDR6 Dual Fans Metal Backplate,$329.99 (16 Offers)–,$3.99 Shipping
ASRock,ASRock Radeon RX 5700 XT DirectX 12 RX 5700 XT TAICHI X 8G OC+ 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card,$439.99 –,$3.99 Shipping
EVGA,EVGA GeForce RTX 2070 SUPER XC ULTRA GAMING 08G-P4-3173-KR 8GB GDDR6 Dual HDB Fans RGB LED Metal Backplate,$569.99 (16 Offers)–,Free Shipping
Sapphire Tech,SAPPHIRE PULSE Radeon RX 5600 XT DirectX 12 11296-01-20G 6GB 192-Bit GDDR6 PCI Express 4.0 ATX Video Card,$334.99 (12 Offers)–,Free Shipping
